Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
34,2017,32337,VEIESUND,0.15,0.5,0,FLORA,61.57207,5.0466,16.2
34,2017,35838,VENGSØY,0.03,0.06,0,TROMSØ,69.8227,18.51875,10.2
34,2017,13837,VERPEIDE,0,0.04,0.07,VÅGSØY,61.90222,5.209233,14.96
34,2017,33497,VERPESDALSBUGEN,,,,NORDDAL,62.27848,7.101567,
34,2017,11385,VESTNES,0.16,0.36,0.15,HARSTAD,68.98158,16.48835,11.47
34,2017,12885,VIKAGEILEN,0.36,1.16,0.02,KRISTIANSUND,63.07578,7.906067,15.3
34,2017,13704,VIKANE,,,,MASFJORDEN,60.7125,5.403633,
34,2017,27315,VIKANE 1,,,,JONDAL,60.26125,6.225083,
34,2017,36717,VINDHAMMARNESET,0.33,0.47,1.34,BERG,69.46841,17.60618,11.3
34,2017,11252,VINDHAMMEREN,0.05,0.49,0.06,BØ I NORDLAND,68.78075,14.59373,11.6
34,2017,12839,VINDSNES,0,0,0,NORDDAL,62.28505,7.279633,16.2
34,2017,13226,VINDSVIK,0.07,0.52,0.03,HJELMELAND,59.29982,6.322467,15.63
34,2017,19235,VINDVIKA,0,0,0,BODØ,67.53316,15.16558,13.07
34,2017,11315,VINKFJORDEN,,,,STEIGEN,67.72638,15.37989,
34,2017,10616,VINNALANDET,0.01,0.13,0.05,HAMMERFEST,70.57315,23.39788,9
34,2017,11925,VINTRAVIKI,0.06,0.04,0,SULDAL,59.39938,6.020533,15.2
34,2017,13246,VOLDNES,2.79,8.49,1.77,HERØY I MØRE OG ROMSDAL,62.2097,5.7849,14.93
34,2017,12334,VORAVIKA,,,,SANDE I MØRE OG ROMSDAL,62.23342,5.486117,
34,2017,36237,VORTERØYA,,,,SKJERVØY,69.96655,20.61528,
34,2017,17495,VULLUM,0.15,1.12,0.12,HALSA,63.04895,8.21635,15.5
34,2017,29936,YSTADNESET,,,,KVINNHERAD,59.97793,5.77565,
34,2017,13306,YSTEVIKA,0.01,0.1,0,SKÅNLAND,68.69432,17.05325,11
34,2017,13016,YTRE HAMNEBUKT,,,,KVÆNANGEN,70.04923,21.81167,
34,2017,24155,YTRE JØVIK,0.11,0.13,0.16,BERG,69.42052,17.33755,11.01
34,2017,32617,YTRE KOVEN,0.01,0.08,0,ALTA,70.14212,22.89257,9.9
34,2017,24175,YTRE LAVOLLSFJORD,0,0.07,0.04,BERG,69.41946,17.28757,9.1
34,2017,20176,YTRE SIMANES,,,,ALTA,69.9481,23.09233,
34,2017,11338,YTRE STRÆTE,0.13,0.25,0.05,SKÅNLAND,68.71948,17.13882,10.36
34,2017,29417,YTRE VASSHOLMEN,0.04,0.41,0.16,HERØY I NORDLAND,65.93497,12.13913,12.4
34,2017,31319,,,,,,,,
34,2017,13012,,,,,,,,
34,2017,12377,,,,,,,,
34,2017,25575,,,,,,,,
34,2017,20566,,,,,,,,
34,2017,13117,,,,,,,,
34,2017,11305,,,,,,,,
34,2017,18270,,,,,,,,
34,2017,11486,,,,,,,,
34,2017,10264,,,,,,,,
34,2017,10970,,,,,,,,
34,2017,12612,,,,,,,,
34,2017,24375,,,,,,,,
34,2017,10995,,,,,,,,
34,2017,29436,,,,,,,,
34,2017,11204,,,,,,,,
34,2017,10875,,,,,,,,
34,2017,11982,,,,,,,,
34,2017,13105,,,,,,,,
34,2017,11514,,,,,,,,
34,2017,13231,,,,,,,,
34,2017,17595,,,,,,,,
34,2017,12066,,,,,,,,
34,2017,34337,,,,,,,,
34,2017,13792,,,,,,,,
34,2017,10072,,,,,,,,
34,2017,19678,,,,,,,,
34,2017,13775,,,,,,,,
34,2017,12723,,,,,,,,
34,2017,10834,,,,,,,,
34,2017,27536,,,,,,,,
34,2017,21955,,,,,,,,
34,2017,11645,,,,,,,,
34,2017,31639,,,,,,,,
34,2017,30875,,,,,,,,
34,2017,25656,,,,,,,,
34,2017,31738,,,,,,,,
34,2017,11556,,,,,,,,
34,2017,32733,,,,,,,,
34,2017,10736,,,,,,,,
34,2017,12802,,,,,,,,
34,2017,26275,,,,,,,,
34,2017,26395,,,,,,,,
34,2017,11274,,,,,,,,
34,2017,10511,,,,,,,,
34,2017,10971,,,,,,,,
34,2017,12027,,,,,,,,
34,2017,34227,,,,,,,,
34,2017,11545,,,,,,,,
34,2017,10327,,,,,,,,
34,2017,13565,,,,,,,,
34,2017,28256,,,,,,,,
34,2017,13253,,,,,,,,
34,2017,11216,,,,,,,,
34,2017,20766,,,,,,,,
34,2017,13547,,,,,,,,
34,2017,12701,,,,,,,,
34,2017,11566,,,,,,,,
34,2017,30737,,,,,,,,
34,2017,12695,,,,,,,,
34,2017,20314,,,,,,,,
34,2017,10506,,,,,,,,
34,2017,11596,,,,,,,,
34,2017,13513,,,,,,,,
34,2017,12221,,,,,,,,
34,2017,10326,,,,,,,,
34,2017,12454,,,,,,,,
34,2017,19679,,,,,,,,
34,2017,20073,,,,,,,,
34,2017,13944,,,,,,,,
34,2017,10400,,,,,,,,
34,2017,14303,,,,,,,,
34,2017,11677,,,,,,,,
34,2017,11428,,,,,,,,
34,2017,13652,,,,,,,,
34,2017,23136,,,,,,,,
34,2017,11356,,,,,,,,
34,2017,32347,,,,,,,,
34,2017,12206,,,,,,,,
34,2017,26738,,,,,,,,
34,2017,15856,,,,,,,,
34,2017,19675,,,,,,,,
34,2017,31037,,,,,,,,
34,2017,11538,,,,,,,,
34,2017,11959,,,,,,,,
34,2017,27556,,,,,,,,
34,2017,13491,,,,,,,,
34,2017,11522,,,,,,,,
34,2017,12708,,,,,,,,
34,2017,11059,,,,,,,,
34,2017,24958,,,,,,,,
34,2017,11503,,,,,,,,
34,2017,31447,,,,,,,,
34,2017,33307,,,,,,,,
34,2017,10545,,,,,,,,
34,2017,21407,,,,,,,,
34,2017,29029,,,,,,,,
34,2017,10964,,,,,,,,
34,2017,14882,,,,,,,,
34,2017,10960,,,,,,,,
34,2017,29315,,,,,,,,
34,2017,32957,,,,,,,,
34,2017,31977,,,,,,,,
34,2017,14765,,,,,,,,
34,2017,18698,,,,,,,,
34,2017,23432,,,,,,,,
34,2017,12800,,,,,,,,
34,2017,13892,,,,,,,,
34,2017,25455,,,,,,,,
34,2017,26035,,,,,,,,
34,2017,11765,,,,,,,,
34,2017,19153,,,,,,,,
34,2017,27075,,,,,,,,
34,2017,19816,,,,,,,,
34,2017,21517,,,,,,,,
34,2017,34307,,,,,,,,
34,2017,20579,,,,,,,,
34,2017,0,,,,,,,,
34,2017,10042,,,,,,,,
34,2017,10061,,,,,,,,
34,2017,10067,,,,,,,,
34,2017,10070,,,,,,,,
34,2017,10093,,,,,,,,
34,2017,10120,,,,,,,,
34,2017,10121,,,,,,,,
34,2017,10177,,,,,,,,
34,2017,10215,,,,,,,,
34,2017,10228,,,,,,,,
34,2017,10258,,,,,,,,
34,2017,10283,,,,,,,,
34,2017,10286,,,,,,,,
34,2017,10301,,,,,,,,
34,2017,10363,,,,,,,,
34,2017,10365,,,,,,,,
34,2017,10369,,,,,,,,
34,2017,10390,,,,,,,,
34,2017,10393,,,,,,,,
34,2017,10394,,,,,,,,
